Aggregatibacter aphrophilus	732	Bacteria	Species
Aggregatibacter segnis	739	Bacteria	Species
Agrobacterium pusense	648995	Bacteria	Species
Agrobacterium tumefaciens	358	Bacteria	Species
Alcaligenes faecalis	511	Bacteria	Species
Alcaligenes faecalis subsp. faecalis	32001	Bacteria	Species
Aliarcobacter butzleri	28197	Bacteria	Species
Aliarcobacter cryaerophilus	28198	Bacteria	Species
Aliarcobacter skirrowii	28200	Bacteria	Species
Alistipes finegoldii	214856	Bacteria	Species
Alistipes indistinctus	626932	Bacteria	Species
Alistipes onderdonkii	328813	Bacteria	Species
Alistipes shahii	328814	Bacteria	Species
Alkanindiges hongkongensis	208968	Bacteria	Species
Alloiococcus otitis	1652	Bacteria	Species
Alloprevotella rava	671218	Bacteria	Species
Alloprevotella tannerae	76122	Bacteria	Species
Alloscardovia omnicolens	419015	Bacteria	Species
Amycolatopsis benzoatilytica	346045	Bacteria	Species
Amycolatopsis orientalis	31958	Bacteria	Species
Amycolatopsis palatopharyngis	187982	Bacteria	Species
Anaerobiospirillum succiniciproducens	13335	Bacteria	Species
Anaerobiospirillum thomasii	179995	Bacteria	Species
Anaerococcus degeneri	361500	Bacteria	Species
Anaerococcus lactolyticus	33032	Bacteria	Species
Anaerococcus murdochii	411577	Bacteria	Species
Anaerococcus nagyae	1755241	Bacteria	Species
Anaerococcus octavius	54007	Bacteria	Species
Anaerococcus prevotii	33034	Bacteria	Species
Anaerococcus vaginalis	33037	Bacteria	Species
Anaeroglobus geminatus	156456	Bacteria	Species
Anaerostipes caccae	105841	Bacteria	Species
Anaplasma phagocytophilum	948	Bacteria	Species
Anaplasma platys	949	Bacteria	Species
Ancylostoma caninum	29170	Eukarya	Species
Ancylostoma ceylanicum	53326	Eukarya	Species
Ancylostoma duodenale	51022	Eukarya	Species
Angiostrongylus cantonensis	6313	Eukarya	Species
Angiostrongylus costaricensis	334426	Eukarya	Species
Angiostrongylus vasorum	321387	Eukarya	Species
Anisakis simplex	6269	Eukarya	Species
Anncaliia algerae	723287	Eukarya	Species
Apiotrichum montevideense	82521	Eukarya	Species
Apophysomyces variabilis	760013	Eukarya	Species
Aquimonas voraii	265719	Bacteria	Species
Arachnia propionica	1750	Bacteria	Species
Arcanobacterium haemolyticum	28264	Bacteria	Species
Arthrobacter luteolus	98672	Bacteria	Species
Arthrobacter woluwensis	156980	Bacteria	Species
Asaia bogorensis	91915	Bacteria	Species
Asaia lannensis	415421	Bacteria	Species
Ascaris lumbricoides	6252	Eukarya	Species
Ascaris suum	6253	Eukarya	Species
Aspergillus flavus	5059	Eukarya	Species
Aspergillus fumigatus	746128	Eukarya	Species
Aspergillus niger	5061	Eukarya	Species
Aspergillus terreus	33178	Eukarya	Species
Atlantibacter hermannii	565	Bacteria	Species
Atopobium deltae	1393034	Bacteria	Species
Atopobium minutum	1381	Bacteria	Species
Aureimonas altamirensis	370622	Bacteria	Species
Auritidibacter ignavus	678932	Bacteria	Species
Babesia divergens	32595	Eukarya	Species
Babesia duncani	323732	Eukarya	Species
Babesia microti	5868	Eukarya	Species
Bacillus altitudinis		Bacteria	Species
Bacillus amyloliquefaciens		Bacteria	Species
Bacillus anthracis	1392	Bacteria	Species
Bacillus atrophaeus		Bacteria	Species
Bacillus australimaris		Bacteria	Species
Bacillus		Bacteria	Genus
Bacillus cabrialesii		Bacteria	Species
Bacillus cereus	1396	Bacteria	Species
Bacillus cytotoxicus	580165	Bacteria	Species
Bacillus glycinifermentans		Bacteria	Species
Bacillus gobiensis		Bacteria	Species
Bacillus halotolerans		Bacteria	Species
Bacillus haynesii		Bacteria	Species
Bacillus inaquosorum		Bacteria	Species
Bacillus infantis	324767	Bacteria	Species
Bacillus licheniformis	1402	Bacteria	Species
Bacillus mojavensis		Bacteria	Species
Bacillus mycoides	1405	Bacteria	Species
Bacillus nakamurai		Bacteria	Species
Bacillus paralicheniformis		Bacteria	Species
Bacillus pumilus	1408	Bacteria	Species
Bacillus pumilus_G		Bacteria	Species
Bacillus pumilus_M		Bacteria	Species
Bacillus pumilus_N		Bacteria	Species
Bacillus safensis		Bacteria	Species
Bacillus siamensis		Bacteria	Species
Bacillus sonorensis		Bacteria	Species
Bacillus sonorensis_A		Bacteria	Species
Bacillus sp010093085		Bacteria	Species
Bacillus sp013155385		Bacteria	Species
Bacillus sp014764715		Bacteria	Species
Bacillus sp018613535		Bacteria	Species
Bacillus spizizenii		Bacteria	Species
Bacillus stratosphericus_B		Bacteria	Species
Bacillus subtilis	1423	Bacteria	Species
Bacillus subtilis_G		Bacteria	Species
Bacillus swezeyi		Bacteria	Species
Bacillus tequilensis		Bacteria	Species
Bacillus thuringiensis	1428	Bacteria	Species
Bacillus vallismortis		Bacteria	Species
Bacillus velezensis		Bacteria	Species
Bacillus xiamenensis		Bacteria	Species
Bacillus zhangzhouensis		Bacteria	Species
Bacillus_A albus		Bacteria	Species
Bacillus_A anthracis		Bacteria	Species
Bacillus_A bingmayongensis		Bacteria	Species
Bacillus_A bombysepticus		Bacteria	Species
Bacillus_A cereus		Bacteria	Species
Bacillus_A cereus_AG		Bacteria	Species
Bacillus_A cereus_AK		Bacteria	Species
Bacillus_A cereus_AQ		Bacteria	Species
Bacillus_A cereus_AT		Bacteria	Species
Bacillus_A cereus_AU		Bacteria	Species
Bacillus_A cereus_AV		Bacteria	Species
Bacillus_A cereus_AW		Bacteria	Species
Bacillus_A cereus_AZ		Bacteria	Species
Bacillus_A cereus_BA		Bacteria	Species
Bacillus_A cereus_BB		Bacteria	Species
Bacillus_A cereus_K		Bacteria	Species
Bacillus_A cereus_S		Bacteria	Species
Bacillus_A cereus_U		Bacteria	Species
Bacillus_A clarus		Bacteria	Species
Bacillus_A cytotoxicus		Bacteria	Species
Bacillus_A cytotoxicus_A		Bacteria	Species
Bacillus_A fungorum		Bacteria	Species
Bacillus_A gaemokensis		Bacteria	Species
Bacillus_A hominis		Bacteria	Species
Bacillus_A luti		Bacteria	Species
Bacillus_A manliponensis		Bacteria	Species
Bacillus_A mobilis		Bacteria	Species
Bacillus_A mycoides		Bacteria	Species
Bacillus_A mycoides_B		Bacteria	Species
Bacillus_A mycoides_C		Bacteria	Species
Bacillus_A nitratireducens		Bacteria	Species
Bacillus_A paramycoides		Bacteria	Species
Bacillus_A paranthracis		Bacteria	Species
Bacillus_A proteolyticus		Bacteria	Species
Bacillus_A pseudomycoides		Bacteria	Species
Bacillus_A pseudomycoides_B		Bacteria	Species
Bacillus_A pseudomycoides_C		Bacteria	Species
Bacillus_A rhizoplanae		Bacteria	Species
Bacillus_A sanguinis		Bacteria	Species
Bacillus_A sp000383235		Bacteria	Species
Bacillus_A sp002551815		Bacteria	Species
Bacillus_A sp002571225		Bacteria	Species
Bacillus_A sp002584985		Bacteria	Species
Bacillus_A sp002975175		Bacteria	Species
Bacillus_A sp006494425		Bacteria	Species
Bacillus_A sp008923725		Bacteria	Species
Bacillus_A sp013314535		Bacteria	Species
Bacillus_A sp018966865		Bacteria	Species
Bacillus_A sp900112415		Bacteria	Species
Bacillus_A sp900116295		Bacteria	Species
Bacillus_A thuringiensis		Bacteria	Species
Bacillus_A thuringiensis_AA		Bacteria	Species
Bacillus_A thuringiensis_K		Bacteria	Species
Bacillus_A thuringiensis_N		Bacteria	Species
Bacillus_A thuringiensis_S		Bacteria	Species
Bacillus_A toyonensis		Bacteria	Species
Bacillus_A tropicus		Bacteria	Species
Bacillus_A wiedmannii		Bacteria	Species
Bacillus_AB infantis		Bacteria	Species
Bacillus_AB infantis_A		Bacteria	Species
Bacillus_AD faecalis		Bacteria	Species
Bacillus_AD massilioanorexius		Bacteria	Species
Bacillus_AD massiliogorillae		Bacteria	Species
Bacillus_AD sp934215995		Bacteria	Species
Bacillus_AD testis		Bacteria	Species
Bacillus_AE acidicola		Bacteria	Species
Bacillus_AG koreensis		Bacteria	Species
Bacillus_AG koreensis_A		Bacteria	Species
Bacillus_AH lenta		Bacteria	Species
Bacillus_AH sp018343515		Bacteria	Species
Bacillus_AI deserti		Bacteria	Species
Bacillus_AI deserti_A		Bacteria	Species
Bacillus_AI kribbensis		Bacteria	Species
